name,online_order,book_table,votes,approx_cost(for two people),listed_in(type),rating
Jalsa,Yes,Yes,775.00,800.00,Buffet,4.5
Spice Elephant,Yes,No,787.00,800.00,Buffet,4.5
San Churro Cafe,Yes,No,918.00,800.00,Buffet,3.5
Addhuri Udupi Bhojana,No,No,88.00,300.00,Buffet,3.5
Grand Village,No,No,166.00,600.00,Buffet,3.5
Timepass Dinner,Yes,No,286.00,600.00,Buffet,3.5
Rosewood International Hotel - Bar & Restaurant,No,No,8.00,800.00,Buffet,3.5
Onesta,Yes,Yes,2556.00,600.00,Cafes,4.5
Penthouse Cafe,Yes,No,324.00,700.00,other,4.5
Smacznego,Yes,No,504.00,550.00,Cafes,4.5
Village Café,Yes,No,402.00,500.00,Cafes,4.5
Cafe Shuffle,Yes,Yes,150.00,600.00,Cafes,4.5
The Coffee Shack,Yes,Yes,164.00,500.00,Cafes,4.5
Caf-Eleven,No,No,424.00,450.00,Cafes,4.5
San Churro Cafe,Yes,No,918.00,800.00,Cafes,3.5
Cafe Vivacity,Yes,No,90.00,650.00,Cafes,3.5
Catch-up-ino,Yes,No,133.00,800.00,Cafes,3.5
Kirthi's Biryani,Yes,No,144.00,700.00,Cafes,3.5
T3H Cafe,No,No,93.00,300.00,Cafes,3.5
360 Atoms Restaurant And Cafe,Yes,No,13.00,400.00,Cafes,3.5
The Vintage Cafe,Yes,No,62.00,400.00,Cafes,3.5
Woodee Pizza,Yes,No,180.00,500.00,Cafes,3.5
Cafe Coffee Day,No,No,28.00,900.00,Cafes,3.5
My Tea House,Yes,No,62.00,600.00,Cafes,3.5
Hide Out Cafe,No,No,31.00,300.00,Cafes,3.5
CAFE NOVA,No,No,11.00,600.00,Cafes,3.5
Coffee Tindi,Yes,No,75.00,200.00,Cafes,3.5
Sea Green Cafe,No,No,4.00,500.00,Cafes,3.5
Cuppa,No,No,23.00,550.00,Cafes,3.5
Srinathji's Cafe,No,No,148.00,550.00,Cafes,3.5
Redberrys,Yes,No,219.00,600.00,Cafes,4.5
Foodiction,Yes,No,506.00,500.00,other,2.5
Sweet Truth,Yes,No,35.00,500.00,Dining,3.5
Ovenstory Pizza,Yes,No,172.00,750.00,Dining,3.5
Faasos,Yes,No,415.00,500.00,other,4.5
Behrouz Biryani,Yes,No,230.00,650.00,Dining,3.5
Fast And Fresh,Yes,No,91.00,400.00,Dining,2.5
Szechuan Dragon,Yes,No,1647.00,600.00,Dining,4.5
Empire Restaurant,Yes,No,4884.00,750.00,other,4.5
Maruthi Davangere Benne Dosa,Yes,No,17.00,150.00,Dining,4.5
Chaatimes,Yes,No,133.00,200.00,Dining,3.5
Havyaka Mess,No,No,28.00,300.00,Dining,3.5
McDonald's,Yes,No,286.00,500.00,Dining,3.5
Domino's Pizza,Yes,No,540.00,800.00,Dining,3.5
Onesta,Yes,Yes,2556.00,600.00,other,4.5
Hotboxit,No,No,36.00,400.00,Dining,3.5
Kitchen Garden,Yes,No,244.00,300.00,Dining,3.5
Recipe,Yes,No,804.00,450.00,Dining,4.5
Beijing Bites,Yes,No,679.00,850.00,Dining,3.5
Tasty Bytes,Yes,No,245.00,300.00,Dining,3.5
Petoo,No,No,21.00,450.00,Dining,3.5
Shree Cool Point,Yes,No,28.00,150.00,Dining,4.5
Corner House Ice Cream,No,No,345.00,400.00,Dining,4.5
Biryanis And More,Yes,No,618.00,750.00,Dining,4.5
